,movieId,original_title
108,103,Taxi Driver
109,33542,紅番區
110,43566,Before and After
111,71754,Margaret's Museum
112,43612,Le Bonheur est dans le pré
113,51352,Anne Frank Remembered
114,16934,The Young Poisoner's Handbook
115,10324,If Lucy Fell
116,78406,Steal Big Steal Little
117,55731,Race the Sun
118,32119,The Boys of St. Vincent
119,11066,Boomerang
120,11104,重慶森林
121,37975,L'uomo delle stelle
122,2074,Flirting with Disaster
123,27793,The NeverEnding Story III
124,44284,صمت القصور
125,290157,Jupiter's Wife
126,110972,Pie in the Sky
127,32622,Angela
128,73067,Frankie Starlight
129,11863,Jade
130,55475,Nueba Yol
131,124636,Sonic Outlaws
132,9101,Down Periscope
133,123360,From the Journals of Jean Seberg
134,5757,Man of the Year
135,39428,The Neon Bible
136,124639,Target
137,9302,Up Close & Personal
138,11000,The Birdcage
139,249882,Gospa
140,16388,The Brothers McMullen
141,9737,Bad Boys
142,30765,The Amazing Panda Adventure
143,10474,The Basketball Diaries
144,22279,An Awfully Big Adventure
145,30157,Amateur
146,568,Apollo 13
147,11780,Rob Roy
148,34996,The Addiction
149,414,Batman Forever
150,649,Belle de jour
151,1873,Beyond Rangoon
152,5894,Blue in the Face
153,1775,Canadian Bacon
154,8839,Casper
155,20649,Clockers
156,10329,Congo
157,8963,Crimson Tide
158,26564,Crumb
159,8068,Desperado
160,8512,Devil in a Blue Dress
161,1572,Die Hard: With a Vengeance
162,13552,The Doom Generation
163,259209,Feast of July
164,6520,First Knight
165,9073,Free Willy 2 - The Adventure Home
166,10428,Hackers
167,17447,Jeffrey
168,9886,Johnny Mnemonic
169,9482,Judge Dredd
170,19326,Jury Duty
171,9344,Kids
172,9071,Living in Oblivion
173,8973,Lord of Illusions
174,15730,Love & Human Remains
175,47608,Mad Love
176,2293,Mallrats
177,9070,Mighty Morphin Power Rangers: The Movie
178,68274,Moonlight and Valentino
179,48787,Mute Witness
180,34574,Nadja
181,1642,The Net
182,11472,Nine Months
183,36196,Party Girl
184,11980,The Prophecy
185,58372,Reckless
186,32646,Safe
187,10533,The Scarlet Letter
188,56088,The Show
189,10802,Showgirls
190,10149,Smoke
191,18402,Something to Talk About
192,9348,Species
193,139408,The Stars Fell on Henrietta
194,281,Strange Days
195,5967,Les parapluies de Cherbourg
196,79593,The Tie That Binds
197,47939,Three Wishes
198,36834,Total Eclipse
199,9090,"To Wong Foo, Thanks for Everything! Julie Newmar"
200,3512,Under Siege 2: Dark Territory
201,52856,Unstrung Heroes
202,77350,Unzipped
203,9560,A Walk in the Clouds
204,9804,Waterworld
205,31611,White Man's Burden
206,65796,Wild Bill
207,49805,The Browning Version
208,26258,Bushwhacked
209,50797,Утомлённые солнцем
210,19155,Before the Rain
211,76,Before Sunrise
212,11017,Billy Madison
213,37141,The Babysitter
214,9382,Boys on the Side
215,6715,The Cure
216,18256,Castle Freak
217,22625,Circle of Friends
218,2292,Clerks
219,1909,Don Juan DeMarco
220,8984,Disclosure
221,61813,Dream Man
222,4954,Drop Zone
223,62488,Destiny Turns on the Radio
224,10531,Death and the Maiden
225,11929,Dolores Claiborne
226,8467,Dumb and Dumber
227,10451,飲食男女
228,20156,Exotica
229,18395,Exit to Eden
230,522,Ed Wood
231,397,French Kiss
232,10525,Forget Paris
233,27985,Far from Home: The Adventures of Yellow Dog
234,15789,A Goofy Movie
235,27303,Hideaway
236,21183,Fluke
237,10954,Farinelli
238,47867,Gordy
239,43475,Gumby: The Movie
240,72031,The Glass Shield
241,14275,Hoop Dreams
242,1024,Heavenly Creatures
243,17207,Houseguest
244,13701,Immortal Beloved
245,14819,Heavyweights
246,32631,The Hunted
247,11777,I.Q.
248,628,Interview with the Vampire
249,87729,Jefferson in Paris
250,18713,The Jerky Boys
251,6280,Junior
252,9061,Just Cause
253,37108,A Kid in King Arthur's Court
254,6071,Kiss of Death
255,11,Star Wars
256,9587,Little Women
257,19101,A Little Princess
258,49980,Ladybird Ladybird
259,17961,L'Enfer
260,18183,Como agua para chocolate
261,4476,Legends of the Fall
262,11008,Major Payne
263,47504,Little Odessa
264,32325,Mi Vida Loca
265,43742,Love Affair
266,28313,Losing Isaiah
267,11318,The Madness of King George
268,3036,Frankenstein
269,40490,Man of the House
270,24070,Mixed Nuts
271,8986,Milk Money
272,10510,Miracle on 34th Street
273,17402,Miami Rhapsody
274,38722,My Family
275,8438,Murder in the First
276,11593,Nobody's Fool
277,1945,Nell
278,39310,New Jersey Drive
279,109560,New York Cop
280,56428,Beyond Bedlam
281,63105,Nemesis 2 - Nebula
282,131957,Nina Takes a Lover
283,241,Natural Born Killers
284,9058,Only You
285,527,Once Were Warriors
286,18220,Poison Ivy II: Lily
287,6950,Outbreak
288,101,Léon
289,63020,The Perez Family
290,2307,A Pyromaniac's Love Story
291,680,Pulp Fiction
292,41478,Panther
293,25296,Pushing Hands
294,40156,Priest
295,11450,Quiz Show
296,30304,Picture Bride
297,10452,La Reine Margot
298,12106,The Quick and the Dead
299,3586,Prêt-à-Porter
300,110,Trois couleurs : Rouge
301,108,Trois couleurs : Bleu
302,109,Trois couleurs : Blanc
303,159185,Pao Da Shuang Deng
304,36357,Rent-a-Kid
305,92769,Relative Fear
306,28033,Stuart Saves His Family
307,22586,The Swan Princess
308,14334,The Secret of Roan Inish
309,2636,The Specialist
310,2164,Stargate
311,11395,The Santa Clause
312,278,The Shawshank Redemption
313,9905,Shallow Grave
314,87078,Suture
315,12527,Fresa y chocolate
316,20306,Swimming with Sharks
317,36614,The Sum of Us
318,27993,Senior Trip
319,31439,活着
320,9067,Tank Girl
321,9059,Tales from the Crypt: Demon Knight
322,193,Star Trek: Generations
323,25066,Tales from the Hood
324,46797,Tom & Viv
325,12122,Village of the Damned
326,11381,Tommy Boy
327,32636,Vanya on 42nd Street
328,36141,The Underneath
329,95963,The Walking Dead
330,1587,What's Eating Gilbert Grape
331,9271,Virtuosity
332,2064,While You Were Sleeping
333,19855,The War
334,60855,Double Happiness
335,236,Muriel's Wedding
336,48287,The Baby-Sitters Club
337,3049,Ace Ventura: Pet Detective
338,2759,"The Adventures of Priscilla, Queen of the Desert"
339,12635,Backbeat
340,10497,Bitter Moon
341,11382,Bullets Over Broadway
342,9331,Clear and Present Danger
343,10731,The Client
344,10464,"Corrina, Corrina"
345,34152,Crooklyn
346,9495,The Crow
347,29973,Cobb
348,888,The Flintstones
349,13,Forrest Gump
350,712,Four Weddings and a Funeral
351,16295,Higher Learning
352,48992,I Like It Like That
353,10879,I Love Trouble
354,10660,It Could Happen to You
355,10714,The Jungle Book
356,41647,Die Macht der Bilder: Leni Riefenstahl
357,8587,The Lion King
358,1689,Little Buddha
359,11596,New Nightmare
360,854,The Mask
361,9359,Maverick
362,23333,Mrs. Parker and the Vicious Circle
363,36593,The Naked Gun 33⅓: The Final Insult
364,12280,The Paper
365,2788,Reality Bites
366,10427,Red Rock West
367,11011,Ri¢hie Ri¢h
368,49803,Safe Passage
369,8987,The River Wild
370,1637,Speed
371,15128,Speechless
372,8831,Timecop
373,36955,True Lies
374,10449,When a Man Loves a Woman
375,10395,Wolf
376,12160,Wyatt Earp
377,40480,Bad Company
378,52038,A Man of No Importance
379,29444,S.F.W.
380,26352,A Low Down Dirty Shame
381,39953,"Boys Life: Three Stories of Love, Lust, and Liberation"
382,41580,Le colonel Chabert
383,315,"Faster, Pussycat! Kill! Kill!"
384,22067,Jason's Lyric
385,18242,The Secret Adventures of Tom Thumb
386,11667,Street Fighter
387,32502,Coldblooded
388,267188,Desert Winds
389,28732,Fall Time
390,75555,The Fear
391,42981,Frank and Ollie
392,278939,Girl in the Cadillac
393,291731,Homage
394,226229,Mirage
395,203119,Open Season
396,172923,Dos Crímenes
397,316098,Brother Minister: The Assassination of Malcolm X
398,8011,Highlander III: The Sorcerer
399,171857,Federal Hill
400,2654,In the Mouth of Madness
401,18069,8 Seconds
402,19092,Above the Rim
403,2758,Addams Family Values
404,38129,Martin Lawrence: You So Crazy
405,10436,The Age of Innocence
406,13595,Airheads
407,46094,The Air Up There
408,9409,Another Stakeout
409,11853,Bad Girls
410,16771,Barcelona
411,46924,Being Human
412,11041,The Beverly Hillbillies
413,306,Beverly Hills Cop III
414,14522,Black Beauty
415,26203,Blink
416,178,Blown Away
417,19819,Blue Chips
418,57834,Blue Sky
419,4722,Body Snatchers
420,18215,Boxing Helena
421,1607,A Bronx Tale
422,26391,Cabin Boy
423,117553,Calendar Girl
424,6075,Carlito's Way
425,11310,City Slickers II: The Legend of Curly's Gold
426,18658,Clean Slate
427,9350,Cliffhanger
428,9612,Coneheads
429,2124,Color of Night
430,26261,Cops & Robbersons
431,19176,The Cowboy Way
432,49299,Dangerous Game
433,11566,Dave
434,9571,Dazed and Confused
435,9739,Demolition Man
436,24257,The Endless Summer 2
437,34444,Even Cowgirls Get the Blues
438,26141,Fatal Instinct
439,10997,霸王别姬
440,50463,The Favor
441,10443,Fearless
442,20239,Fear of a Black Hat
443,16297,With Honors
444,18551,Flesh and Bone
445,25440,Widows' Peak
446,9024,For Love or Money
447,37233,The Firm
448,1634,Free Willy
449,13815,Fresh
450,5503,The Fugitive
451,35588,Geronimo: An American Legend
452,2087,The Getaway
453,41579,Getting Even with Dad
454,18620,Go Fish
455,41006,A Good Man in Africa
456,4916,Guilty as Sin
457,2019,Hard Target
458,31642,Heaven & Earth
459,9255,Hot Shots! Part Deux
460,26271,Live Nude Girls
461,10612,The Englishman Who Went Up a Hill But Came Down a Mountain
462,2259,The House of the Spirits
463,16097,House Party 3
464,11934,The Hudsucker Proxy
465,106143,I'll Do Anything
466,12475,In the Army Now
467,9386,In the Line of Fire
468,7984,In the Name of the Father
469,59930,The Inkwell
470,15765,What's Love Got to Do with It
471,31643,Jimmy Hollywood
472,6,Judgment Night
473,329,Jurassic Park
474,10909,Kalifornia
475,507,Killing Zoe
476,34024,King of the Hill
477,29918,Lassie
478,9593,Last Action Hero
479,42580,Life With Mikey
480,22317,Lightning Jack
481,1413,M. Butterfly
482,12121,Made in America
483,2246,Malice
484,10502,The Man without a Face
485,10440,Manhattan Murder Mystery
486,9516,Menace II Society
487,2320,Executive Decision
488,5879,愛のコリーダ
489,83718,What Happened Was...
490,11971,Much Ado About Nothing
491,2625,Mr. Jones
492,31911,Mr. Wonderful
493,788,Mrs. Doubtfire
494,21450,Naked
495,11231,The Next Karate Kid
496,41588,The New Age
497,10447,No Escape
498,31586,North
499,9300,Orlando
500,9559,A Perfect World
501,9800,Philadelphia
502,713,The Piano
503,8291,Poetic Justice
504,18133,The Program
505,25557,The Puppet Masters
506,22588,Radioland Murders
507,10872,The Ref
508,1245,The Remains of the Day
509,11858,Renaissance Man
510,7007,Rising Sun
511,10467,The Road to Wellville
512,5550,RoboCop 3
513,8005,Robin Hood: Men in Tights
514,2088,Romeo Is Bleeding
515,10412,Romper Stomper
516,47889,Ruby in Paradise
517,14534,Rudy
518,56583,The Saint of Fort Washington
519,41878,Les Nuits Fauves
520,424,Schindler's List
521,35233,The Scout
522,14291,Searching for Bobby Fischer
523,103413,Second Best
524,11236,The Secret Garden
525,11592,Serial Mom
526,8850,The Shadow
527,10445,Shadowlands
528,695,Short Cuts
529,43535,A Simple Twist of Fate
530,12519,Sirens
531,23210,Six Degrees of Separation
532,858,Sleepless in Seattle
533,867,Sliver
534,78,Blade Runner
535,13203,Son in Law
536,10442,So I Married an Axe Murderer
537,11074,Striking Distance
538,33367,Harem
539,9607,Super Mario Bros.
540,17585,Surviving the Game
541,9057,Terminal Velocity
542,20967,Thirty Two Short Films About Glenn Gould
543,10635,Threesome
544,9479,The Nightmare Before Christmas
545,10057,The Three Musketeers
546,11969,Tombstone
547,41590,Trial by Jury
548,319,True Romance
549,26408,The War Room
550,15139,The Pagemaster
551,161158,"Paris, France"
552,218473,"The Beans of Egypt, Maine"
553,85247,Killer
554,11446,Welcome to the Dollhouse
555,51980,Germinal
556,24405,Chasers
557,11655,Cronos
558,11800,Naked in New York
559,8223,Kika
560,14587,Bhaji on the Beach
561,31504,Little Big League
562,41653,Kådisbellan
563,53185,Wide Eyed and Legless
564,95743,Foreign Student
565,23637,Io speriamo che me la cavo
566,17600,Spanking the Monkey
567,10897,The Little Rascals
568,349394,À la mode
569,21352,Andre
570,68806,La scorta
571,37345,Princess Caraboo
572,32562,The Celluloid Closet
573,47507,Métisse
574,25403,Caro diario
575,124304,De eso no se habla
576,9066,The Brady Bunch Movie
577,771,Home Alone
578,251,Ghost
579,812,Aladdin
580,280,Terminator 2: Judgment Day
581,581,Dances with Wolves
582,80350,Tough and Deadly
583,268,Batman
584,274,The Silence of the Lambs
585,408,Snow White and the Seven Dwarfs
586,10020,Beauty and the Beast
587,10895,Pinocchio
588,114,Pretty Woman
589,41043,Окно в Париж
590,576,The Wild Bunch
591,15477,Love and a .45
592,59146,The Wooden Man's Bride
593,124472,A Great Day in Harlem
594,30528,Bye Bye Love
595,7300,One Fine Day
596,10824,Candyman: Farewell to the Flesh
597,261246,Century
598,275,Fargo
599,25059,Homeward Bound II: Lost in San Francisco
600,11827,Heavy Metal
601,8766,Hellraiser: Bloodline
602,23570,The Pallbearer
603,47333,Jane Eyre
604,54850,Loaded
605,51242,Pane e cioccolata
606,10112,The Aristocats
607,4307,La flor de mi secreto
608,46029,Two Much
609,32308,Ed
610,88893,Schrei aus Stein
611,52873,Ma saison préférée
612,123505,A Modern Affair
613,340210,Condition Red
614,44281,Asfour Stah
615,28121,A Thin Line Between Love and Hate
616,12520,The Last Supper
617,1592,Primal Fear
618,166901,Rude
619,36447,Carried Away
620,19042,All Dogs Go to Heaven 2
621,38884,Land and Freedom
622,47449,Denise Calls Up
623,36259,Theodore Rex
624,41852,A Family Thing
625,40926,Frisk
626,9099,Sgt. Bilko
627,2021,Jack & Sarah
628,61752,Girl 6
629,10988,Diabolique
630,11479,Un indien dans la ville
631,398959,Roula - Dunkle Geheimnisse
632,12652,Nelly & Monsieur Arnaud
633,10684,Courage Under Fire
634,954,Mission: Impossible
635,68445,Á köldum klaka
636,18989,Moll Flanders
637,54285,삼공일 삼공이
638,8840,DragonHeart
639,124625,My Mother's Courage
640,11107,Eddie
641,16417,Yankee Zulu
642,70934,Billy's Holiday
643,10363,Plein soleil
644,161070,August
645,10539,James and the Giant Peach
646,10543,Fear
647,18414,Kids in the Hall: Brain Candy
648,47502,Faithful
649,11902,Podzemlje
650,27098,Lust och fägring stor
651,25087,Bloodsport II
652,5801,পথের পাঁচালী
653,896,অপুর সংসার
654,3065,Mystery Science Theater 3000: The Movie
655,318177,Tarantella
656,2300,Space Jam
657,8069,Barbarella
658,288173,Hostile Intentions
659,187851,They Bite
660,27768,Some Folks Call It a Sling Blade
661,221917,The Run of the Country
662,8072,"Alphaville, une étrange aventure de Lemmy Caution"
663,35797,Coup de torchon
664,88030,Tigrero: A Film That Was Never Made
665,185191,L'oeil de Vichy
666,83857,Windows
667,33245,It's My Party
668,124460,Country Life
669,27281,Operation Dumbo Drop
670,105045,Das Versprechen
671,40001,Mrs. Winterbourne
672,29621,Solo
673,20762,The Substitute
674,37144,True Crime
675,48260,Butterfly Kiss
676,12656,Feeling Minnesota
677,38867,Delta of Venus
678,277270,To Cross the Rubicon
679,25969,Angus
680,44103,Daens
681,753,Faces
682,43634,Boys
683,9103,The Quest
684,90214,Cosi
685,29649,Sunset Park
686,10990,Mulholland Falls
687,8866,The Truth About Cats & Dogs
688,12233,Oliver & Company
689,23449,Celtic Pride
690,36355,Flipper
691,37667,Captives
692,90148,Of Love and Shadows
693,922,Dead Man
694,11876,Le Hussard sur le toit
695,52633,Switchblade Sisters
696,62364,Boca a boca
697,11687,Les visiteurs
698,9304,Multiplicity
699,73183,"The Haunted World of Edward D. Wood, Jr."
700,131232,Due Amici
701,9100,The Craft
702,20759,The Great White Hype
703,46063,Last Dance
704,32513,Cold Comfort Farm
705,40651,"Institute Benjamenta, or This Dream People Call Human Life"
706,36915,Heaven's Prisoners
707,40507,Original Gangstas
708,9802,The Rock
709,25697,Getting Away with Murder
710,21588,Dellamorte Dellamore
711,664,Twister
712,11867,Barb Wire
713,47119,Le garçu
714,314352,Honigmond
715,9323,GHOST IN THE SHELL
716,10280,Thinner
717,10535,Spy Hard
718,124613,Brothers in Trouble
719,532,A Close Shave
720,26744,Force of Evil
721,16299,The Stupids
722,10547,The Arrival
723,245268,The Man from Down Under
724,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
725,55613,Careful
726,41007,A Month by the Lake
727,35645,Gold Diggers: The Secret of Bear Mountain
728,110465,Kim
729,255546,Carmen Miranda: Bananas Is My Business
730,40751,東邪西毒
731,275096,Khomreh
732,85778,Maya Lin: A Strong Clear Vision
733,11101,Stalingrad
734,9826,The Phantom
735,9879,Striptease
736,63564,The Last of the High Kings
737,22621,Heavy
738,7095,Jack
739,26890,I Shot Andy Warhol
740,46732,The Grass Harp
741,124633,Tuđa Amerika
742,202425,La vie est belle
743,196940,Quartier Mozart
744,77771,Touki-Bouki
745,181083,Wend Kuuni
746,41225,Histoires extraordinaires
747,188589,Babyfever
748,87190,Pharaoh's  Army
749,627,Trainspotting
750,32872,Til There Was You
751,602,Independence Day
752,14553,Stealing Beauty
753,9566,The Fan
754,10545,The Hunchback of Notre Dame
755,9894,The Cable Guy
756,11543,Kingpin
757,9268,Eraser
758,52059,The Gate of Heavenly Peace
759,9327,The Nutty Professor
760,123763,"Yo, la peor de todas"
761,81949,Un été inoubliable
762,42005,"Hol volt, hol nem volt"
763,124306,En compagnie d'Antonin Artaud
764,183955,Sibak
765,44535,Somebody to Love
766,44495,A Very Natural Thing
767,78285,La vieille qui marchait dans la mer
768,11228,Daylight
769,10779,The Frighteners
770,26748,Lone Star
771,38223,Harriet the Spy
772,9294,Phenomenon
773,49963,Walking and Talking
774,11363,She's the One
775,1645,A Time to Kill
776,31546,American Buffalo
777,77056,Les Rendez-vous de Paris
778,36344,Alaska
779,18550,Fled
780,11511,Kazaam
781,172198,Bűvös vadász
782,34170,Larger Than Life
783,109478,Power 98
784,124645,Two Deaths
785,12606,A Very Brady Sequel
786,69895,Stefano Quantestorie
787,35206,La mort en ce jardin
788,151489,Hedd Wyn
789,4837,La Collectionneuse
790,12632,Kaspar Hauser
791,9098,Echte Kerle
792,124614,O Convento
793,18975,The Adventures of Pinocchio
794,11962,Joe's Apartment
795,2925,The First Wives Club
796,28628,Stonewall
797,3595,Ransom
798,9308,High School High
799,92381,Phat Beach
800,18555,Foxfire
801,12123,Chain Reaction
802,10830,Matilda
803,3573,Emma
804,10546,The Crow: City of Angels
805,18862,House Arrest
806,31417,Les Yeux sans visage
807,9431,Bordello of Blood
808,124619,Lotto Land
809,297645,The Story of Xinghua
810,46986,Flirt
811,144982,The Big Squeeze
812,47907,The Spitfire Grill
813,10061,Escape from L.A.
814,36266,Xích lô
815,549,Basquiat
816,10478,Tin Cup
817,66634,Dingo
818,116690,楢山節考
819,213917,Un week-end sur deux
820,100914,Wuya yu maque
821,238,The Godfather
822,159,Der bewegte Mann
823,11134,警察故事 III：超級警察
824,88224,Manny & Lo
825,132641,Tsuma
826,42758,Small Faces
827,9303,Bound
828,23945,Carpool
829,37820,Death in Brunswick
830,22479,Kansas City
831,9054,Gone Fishin'
832,241058,Lover's Knot
833,11985,愛情萬歲
834,10232,Schatten der Engel
835,59569,Killer: A Journal of Murder
836,410921,Nothing to Lose
837,38955,超级计划
838,110513,Girls Town
839,114089,Bye-Bye
840,11015,The Relic
841,9306,The Island of Dr. Moreau
842,12559,First Kid
843,58770,The Trigger Effect
844,124851,Sweet Nothing
845,3587,Bogus
846,10723,Bulletproof
847,56077,Talk of Angels
848,19004,The Land Before Time III: The Time of the Great Giving
849,101230,06
850,10987,Halloween: The Curse of Michael Myers
851,44705,Twelfth Night
852,20318,Mother Night
853,43596,Liebelei
854,79782,Wenecja
855,26933,Les Roseaux Sauvages
856,27854,For Whom the Bell Tolls
857,981,The Philadelphia Story
858,872,Singin' in the Rain
859,2769,An American in Paris
860,13320,Funny Face
861,164,Breakfast at Tiffany's
862,426,Vertigo
863,567,Rear Window
864,3078,It Happened One Night
865,13528,Gaslight
866,28288,The Gay Divorcee
867,213,North by Northwest
868,284,The Apartment
869,239,Some Like It Hot
870,4808,Charade
871,289,Casablanca
872,963,The Maltese Falcon
873,11113,My Fair Lady
874,804,Roman Holiday
875,26531,The Little Princess
876,909,Meet Me in St. Louis
877,630,The Wizard of Oz
878,770,Gone with the Wind
879,31044,My Favorite Year
880,599,Sunset Boulevard
881,15,Citizen Kane
882,62,2001: A Space Odyssey
883,121357,Golden Earrings
884,705,All About Eve
885,22490,The Women
886,223,Rebecca
887,25670,Foreign Correspondent
888,303,Notorious
889,4174,Spellbound
890,8356,An Affair to Remember
891,381,To Catch a Thief
892,20758,Father of the Bride
893,29376,The Band Wagon
894,1859,Ninotchka
895,18299,Love in the Afternoon
896,17281,Gigi
897,64382,The Reluctant Debutante
898,10907,The Adventures of Robin Hood
899,32093,The Mark of Zorro
900,1939,Laura
901,22292,The Ghost and Mrs. Muir
902,3598,Lost Horizon
903,3080,Top Hat
904,198,To Be or Not to Be
905,13562,My Man Godfrey
906,1712,Giant
907,220,East of Eden
908,3529,The Thin Man
909,3085,His Girl Friday
910,2897,Around the World in Eighty Days
911,1585,It's a Wonderful Life
912,3083,Mr. Smith Goes to Washington
913,900,Bringing Up Baby
914,43795,Penny Serenade
915,50001,Lady of Burlesque
916,43905,Of Human Bondage
917,22688,Angel on My Shoulder
918,23114,Little Lord Fauntleroy
919,26378,They Made Me a Criminal
920,40206,The Inspector General
921,22356,Angel and the Badman
922,260,The 39 Steps
923,43488,A Walk in the Sun
924,22613,The Outlaw
925,10331,Night of the Living Dead
926,488,The African Queen
927,22733,Beat the Devil
928,261,Cat on a Hot Tin Roof
929,57575,The Last Time I Saw Paris
930,32574,Meet John Doe
931,22657,Algiers
932,76464,Something to Sing About
933,22649,A Farewell to Arms
934,176841,Moonlight Murder
935,125587,Nothing Personal
936,39448,Huang jia shi jie
937,52855,Dangerous Ground
938,39940,Picnic
939,172868,Madagascar Skin
940,85328,The Pompatus of Love
941,124632,Small Wonders
942,11076,Fly Away Home
943,63945,Bliss
944,58985,Grace of My Heart
945,890,Schlafes Bruder
946,10861,Maximum Risk
947,1770,Michael Collins
948,44465,The Rich Man's Wife
949,2033,Infinity
950,18203,Big Night
951,9333,Last Man Standing
952,47260,Caught
953,9400,Set It Off
954,9401,2 Days in the Valley
955,12241,Curdled
956,25739,L'associé
957,161806,Ed's Next Move
958,11306,Extreme Measures
959,9625,The Glimmer Man
960,10680,D3: The Mighty Ducks
961,6346,The Chamber
962,18660,The Apple Dumpling Gang
963,35115,"Davy Crockett, King of the Wild Frontier"
964,14821,Escape to Witch Mountain
965,14136,The Love Bug
966,10869,Herbie Rides Again
967,22660,Old Yeller
968,19186,The Parent Trap
969,31102,Pollyanna
970,6878,Homeward Bound: The Incredible Journey
971,15944,The Shaggy Dog
972,18444,Swiss Family Robinson
973,20723,That Darn Cat!
974,173,"20,000 Leagues Under the Sea"
975,864,Cool Runnings
976,24795,Angels in the Outfield
977,11224,Cinderella
978,81310,Winnie the Pooh and the Blustery Day
979,15947,The Three Caballeros
980,9078,The Sword in the Stone
981,29682,So Dear to My Heart
982,8367,Robin Hood: Prince of Thieves
983,433,Mary Poppins
984,11360,Dumbo
985,11114,Pete's Dragon
986,12335,Bedknobs and Broomsticks
987,12092,Alice in Wonderland
988,10948,The Fox and the Hound
989,11229,Freeway
990,15121,The Sound of Music
991,562,Die Hard
992,10163,The Lawnmower Man
993,48862,Unhook the Stars
994,117036,Synthetic Pleasures
995,47199,The Secret Agent
996,11159,Secrets & Lies
997,9591,That Thing You Do!
998,30500,To Gillian on Her 37th Birthday
999,41843,Surviving Picasso
1000,55058,Love Is All There Is
1001,10938,Beautiful Thing
1002,11412,The Long Kiss Goodnight
1003,10586,The Ghost and the Darkness
1004,42314,Looking for Richard
1005,27845,Trees Lounge
1006,23223,Normal Life
1007,49471,Get on the Bus
1008,38153,Shadow Conspiracy
1009,25147,Jude
1010,9716,Everyone Says I Love You
1011,43777,Azúcar amarga
1012,454,Romeo + Juliet
1013,10218,Swingers
1014,819,Sleepers
1015,38191,The Sunchaser
1016,56830,Johns
1017,11238,Aladdin and the King of Thieves
1018,27256,The Woman in Question
1019,31530,Shall We Dance
1020,66473,A Damsel in Distress
1021,28120,Crossfire
1022,1834,"Murder, My Sweet"
1023,26282,Macao
1024,37218,For the Moment
1025,252,Willy Wonka & the Chocolate Factory
1026,116356,La vie sexuelle des Belges 1950-1978
1027,16372,The Innocents
1028,11561,Sleeper
1029,11302,Bananas
1030,623,A Fish Called Wanda
1031,583,Life of Brian
1032,12614,Victor/Victoria
1033,21711,The Candidate
1034,11575,The Great Race
1035,475,Bonnie and Clyde
1036,11331,The Old Man and the Sea
1037,521,Dial M for Murder
1038,21202,Madame Butterfly
